ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
65841.508,1672.2141,3.133,10^2 K181,Salivary Gland,P-19,3,20
57057.863,1449.131,3.133,10^2 K181,Salivary Gland,P-20,3,20
62515.727,1587.7473,3.133,10^2 K181,Salivary Gland,P-21,3,20
57926.82,1471.2003,3.133,10^2 K181,Salivary Gland,P-22,3,20
1188412.4,6654.2085,14.21,10^2 K181,Body,P-18,3,20
7060618.5,39534.109,14.21,10^2 K181,Body,P-19,3,20
2259488.8,12651.424,14.21,10^2 K181,Body,P-20,3,20
333482.91,1867.2515,14.21,10^2 K181,Body,P-21,3,20
309295.41,1731.8197,14.21,10^2 K181,Body,P-22,3,20
2660857.8,67579.313,3.133,10^2 K181,Salivary Gland,P-18,14,20
316191.09,8030.4844,3.133,10^2 K181,Salivary Gland,P-19,14,20
569631.31,14467.248,3.133,10^2 K181,Salivary Gland,P-20,14,20
1349487.8,34273.703,3.133,10^2 K181,Salivary Gland,P-21,14,20
3381585,85884.031,3.133,10^2 K181,Salivary Gland,P-22,14,20
1935609,10837.943,14.21,10^2 K181,Body,P-18,14,20
516833.13,2893.8735,14.21,10^2 K181,Body,P-19,14,20
858732.38,4827.7168,14.15,10^2 K181,Body,P-20,14,20
590022.69,3303.6797,14.21,10^2 K181,Body,P-21,14,20
688792.81,3856.7175,14.21,10^2 K181,Body,P-22,14,20
92248.438,2342.8857,3.133,10^2 K181,Salivary Gland,P-18,4,20
87290,2216.9536,3.133,10^2 K181,Salivary Gland,P-19,4,20
71456.148,1814.8123,3.133,10^2 K181,Salivary Gland,P-20,4,20
90205.938,2291.0112,3.133,10^2 K181,Salivary Gland,P-21,4,20
78114.43,1983.9164,3.133,10^2 K181,Salivary Gland,P-22,4,20
688017.88,3852.3784,14.21,10^2 K181,Body,P-18,4,20
6711117.5,37577.168,14.21,10^2 K181,Body,P-19,4,20
1205177.9,6748.083,14.21,10^2 K181,Body,P-20,4,20
362830.41,2031.5752,14.21,10^2 K181,Body,P-21,4,20
393915.81,2205.6299,14.21,10^2 K181,Body,P-22,4,20
75299.266,1912.4182,3.133,10^2 K181,Salivary Gland,P-18,5,20
98821.617,2509.8286,3.133,10^2 K181,Salivary Gland,P-19,5,20
58621.094,1488.8331,3.133,10^2 K181,Salivary Gland,P-20,5,20
78253.281,1987.4429,3.133,10^2 K181,Salivary Gland,P-21,5,20
80786.25,2051.7742,3.133,10^2 K181,Salivary Gland,P-22,5,20
1346486.8,7539.3047,14.21,10^2 K181,Body,P-18,5,20
2159558.5,12091.891,14.21,10^2 K181,Body,P-19,5,20
2039848.3,11421.604,14.21,10^2 K181,Body,P-20,5,20
392307.78,2196.6262,14.21,10^2 K181,Body,P-21,5,20
549696.75,3077.885,14.21,10^2 K181,Body,P-22,5,20
69619.68,1768.1705,3.133,10^2 K181,Salivary Gland,P-18,6,20
275468.75,6996.2358,3.133,10^2 K181,Salivary Gland,P-19,6,20
57770.051,1467.2188,3.133,10^2 K181,Salivary Gland,P-20,6,20
135720.98,3446.9827,3.133,10^2 K181,Salivary Gland,P-21,6,20
69485.313,1764.7578,3.133,10^2 K181,Salivary Gland,P-22,6,20
686674.19,3844.8545,14.21,10^2 K181,Body,P-18,6,20
1541084.3,8628.9023,14.21,10^2 K181,Body,P-19,6,20
1761047,9900.4492,14.15,10^2 K181,Body,P-20,6,20
384124.38,2150.8052,14.21,10^2 K181,Body,P-21,6,20
5863211,32829.535,14.21,10^2 K181,Body,P-22,6,20
81041.563,2058.2585,3.133,10^2 K181,Salivary Gland,P-18,7,20
715331.88,18167.689,3.133,10^2 K181,Salivary Gland,P-19,7,20
184521.52,4686.397,3.133,10^2 K181,Salivary Gland,P-20,7,20
1035419.9,26297.145,3.133,10^2 K181,Salivary Gland,P-21,7,20
80562.289,2046.0861,3.133,10^2 K181,Salivary Gland,P-22,7,20
1035601.3,5798.5815,14.21,10^2 K181,Body,P-18,7,20
1529850.4,8566.002,14.21,10^2 K181,Body,P-19,7,20
2362213.8,13226.606,14.21,10^2 K181,Body,P-20,7,20
1967711.3,11017.691,14.21,10^2 K181,Body,P-21,7,20
1418471.5,7942.3647,14.21,10^2 K181,Body,P-22,7,20
70667.813,1794.7904,3.133,10^2 K181,Salivary Gland,P-18,8,20
735642.56,18683.533,3.133,10^2 K181,Salivary Gland,P-19,8,20
225532.75,5727.9829,3.133,10^2 K181,Salivary Gland,P-20,8,20
991880.06,25191.34,3.133,10^2 K181,Salivary Gland,P-21,8,20
87413.18,2220.082,3.133,10^2 K181,Salivary Gland,P-22,8,20
1315383.4,7365.1494,14.21,10^2 K181,Body,P-18,8,20
4178793.8,23398.076,14.21,10^2 K181,Body,P-19,8,20
1508444.5,8446.1455,14.21,10^2 K181,Body,P-20,8,20
1038154.3,5812.8774,14.21,10^2 K181,Body,P-21,8,20
1833054.1,10263.713,14.21,10^2 K181,Body,P-22,8,20
73444.898,1865.3217,3.133,10^2 K181,Salivary Gland,P-18,9,20
1618712.8,41111.363,3.133,10^2 K181,Salivary Gland,P-19,9,20
415671.16,10557.036,3.133,10^2 K181,Salivary Gland,P-20,9,20
945708.81,24018.701,3.133,10^2 K181,Salivary Gland,P-21,9,20
91224.945,2316.8916,3.133,10^2 K181,Salivary Gland,P-22,9,20
1620688,9074.624,14.21,10^2 K181,Body,P-18,9,20
636467.19,3563.7336,14.21,10^2 K181,Body,P-19,9,20
1446031.8,8096.6812,14.21,10^2 K181,Body,P-20,9,20
864452.31,4840.2773,14.21,10^2 K181,Body,P-21,9,20
1157210.5,6479.5015,14.21,10^2 K181,Body,P-22,9,20
114601.72,2910.6047,3.133,10^2 K181,Salivary Gland,P-18,10,20
2223946.5,56482.828,3.133,10^2 K181,Salivary Gland,P-19,10,20
352266.31,8946.707,3.133,10^2 K181,Salivary Gland,P-20,10,20
3688763.5,93685.625,3.133,10^2 K181,Salivary Gland,P-21,10,20
104214.52,2646.7954,3.133,10^2 K181,Salivary Gland,P-22,10,20
1769924.8,9910.2363,14.21,10^2 K181,Body,P-18,10,20
1914418.3,10719.29,14.21,10^2 K181,Body,P-19,10,20
1048044.3,5868.2539,14.21,10^2 K181,Body,P-20,10,20
1363350.8,7633.7305,14.21,10^2 K181,Body,P-21,10,20
1501479.4,8407.1455,14.21,10^2 K181,Body,P-22,10,20
220878.89,5609.7861,3.133,10^2 K181,Salivary Gland,P-18,11,20
2286283,58066.027,3.133,10^2 K181,Salivary Gland,P-19,11,20
237093.47,6021.5972,3.133,10^2 K181,Salivary Gland,P-20,11,20
4880737,123958.85,3.133,10^2 K181,Salivary Gland,P-21,11,20
417861.47,10612.664,3.133,10^2 K181,Salivary Gland,P-22,11,20
1724748,9657.2803,14.21,10^2 K181,Body,P-18,11,20
1010661.3,5658.9365,14.21,10^2 K181,Body,P-19,11,20
431251.91,2414.6836,14.21,10^2 K181,Body,P-20,11,20
1221226.9,6837.9438,14.21,10^2 K181,Body,P-21,11,20
946197,5319.4355,14.15,10^2 K181,Body,P-22,11,20
432844.28,10993.191,3.133,10^2 K181,Salivary Gland,P-18,12,20
1230998.3,31264.359,3.133,10^2 K181,Salivary Gland,P-19,12,20
580076.75,14732.537,3.133,10^2 K181,Salivary Gland,P-20,12,20
4130620.3,104907.7,3.133,10^2 K181,Salivary Gland,P-21,12,20
2550475.8,64775.871,3.133,10^2 K181,Salivary Gland,P-22,12,20
1212152.1,6787.1323,14.21,10^2 K181,Body,P-18,12,20
555792.88,3112.0188,14.21,10^2 K181,Body,P-19,12,20
869836.19,4870.4233,14.21,10^2 K181,Body,P-20,12,20
715233.31,4004.7642,14.21,10^2 K181,Body,P-21,12,20
709007.31,3969.9033,14.21,10^2 K181,Body,P-22,12,20
2410201.5,61213.254,3.133,10^2 K181,Salivary Gland,P-18,15,20
514595.78,13069.48,3.133,10^2 K181,Salivary Gland,P-20,15,20
2227247.5,56566.668,3.133,10^2 K181,Salivary Gland,P-21,15,20
1774110.6,45058.094,3.133,10^2 K181,Salivary Gland,P-22,15,20
2077115.1,11630.269,14.21,10^2 K181,Body,P-18,15,20
636346.25,3563.0564,14.21,10^2 K181,Body,P-20,15,20
558999.94,3129.9761,14.21,10^2 K181,Body,P-21,15,20
422224.16,2364.1353,14.21,10^2 K181,Body,P-22,15,20
2420053.3,61463.465,3.133,10^2 K181,Salivary Gland,P-18,16,20
314489,7987.2554,3.133,10^2 K181,Salivary Gland,P-20,16,20
1114815.3,28313.596,3.133,10^2 K181,Salivary Gland,P-21,16,20
844468.5,21447.445,3.133,10^2 K181,Salivary Gland,P-22,16,20
1366495.3,7651.3369,14.21,10^2 K181,Body,P-18,16,20
428853.34,2401.2534,14.21,10^2 K181,Body,P-20,16,20
374906.25,2099.1907,14.21,10^2 K181,Body,P-21,16,20
265345.84,1485.7355,14.21,10^2 K181,Body,P-22,16,20
2040157.4,51815.031,3.133,10^2 K181,Salivary Gland,P-18,17,20
478802.75,12160.425,3.133,10^2 K181,Salivary Gland,P-20,17,20
1575235.6,40007.148,3.133,10^2 K181,Salivary Gland,P-21,17,20
1311589.6,33311.184,3.133,10^2 K181,Salivary Gland,P-22,17,20
723869.13,4053.1182,14.21,10^2 K181,Body,P-18,17,20
476699.75,2669.1572,14.21,10^2 K181,Body,P-20,17,20
382104.28,2139.4941,14.21,10^2 K181,Body,P-21,17,20
569615.63,3189.4155,14.21,10^2 K181,Body,P-22,17,20
1054008.4,26769.248,3.133,10^2 K181,Salivary Gland,P-18,18,20
408750.81,10381.276,3.133,10^2 K181,Salivary Gland,P-20,18,20
2548726.5,64731.449,3.133,10^2 K181,Salivary Gland,P-21,18,20
925017.31,23493.189,3.133,10^2 K181,Salivary Gland,P-22,18,20
729996.63,4087.4277,14.21,10^2 K181,Body,P-18,18,20
579478.69,3244.6414,14.21,10^2 K181,Body,P-20,18,20
484081.44,2710.489,14.21,10^2 K181,Body,P-21,18,20
418703.53,2344.4224,14.21,10^2 K181,Body,P-22,18,20
1482937.9,37663.012,3.133,10^2 K181,Salivary Gland,P-18,19,20
404242.53,10266.776,3.133,10^2 K181,Salivary Gland,P-20,19,20
551961,14018.466,3.133,10^2 K181,Salivary Gland,P-21,19,20
453717.16,11523.312,3.133,10^2 K181,Salivary Gland,P-22,19,20
511919.44,2866.3608,14.21,10^2 K181,Body,P-18,19,20
406672.5,2277.0576,14.21,10^2 K181,Body,P-20,19,20
434214.88,2431.2742,14.21,10^2 K181,Body,P-21,19,20
399761.16,2238.3594,14.21,10^2 K181,Body,P-22,19,20
2062629.3,52385.766,3.133,10^6 K181,Salivary Gland,P-36,6,21
65312876,1658788.1,3.133,10^6 K181,Salivary Gland,P-37,6,21
5032623,127816.39,3.133,10^6 K181,Salivary Gland,P-41,6,21
55889824,312940.63,14.21,10^6 K181,Body,P-36,6,21
17988890,100724.14,14.21,10^6 K181,Body,P-37,6,21
88906048,499821.88,14.15,10^6 K181,Body,P-41,6,21
5321572.5,135154.98,3.133,10^6 K181,Salivary Gland,P-36,7,21
40132288,1019262.4,3.133,10^6 K181,Salivary Gland,P-37,7,21
10750177,273028.34,3.133,10^6 K181,Salivary Gland,P-41,7,21
18446382,103285.75,14.21,10^6 K181,Body,P-36,7,21
7564613.5,42356.098,14.21,10^6 K181,Body,P-37,7,21
13561438,75933.773,14.21,10^6 K181,Body,P-41,7,21
8801213,223529.41,3.133,10^6 K181,Salivary Gland,P-36,8,21
38230220,970954.56,3.133,10^6 K181,Salivary Gland,P-37,8,21
10518095,267134.03,3.133,10^6 K181,Salivary Gland,P-41,8,21
14927529,83582.844,14.21,10^6 K181,Body,P-36,8,21
2953419,16536.908,14.21,10^6 K181,Body,P-37,8,21
10809133,60767.984,14.15,10^6 K181,Body,P-41,8,21
5880375,149347.22,3.133,10^6 K181,Salivary Gland,P-36,9,21
65638052,1667046.8,3.133,10^6 K181,Salivary Gland,P-37,9,21
5234479.5,132943.05,3.133,10^6 K181,Salivary Gland,P-41,9,21
4634889,25951.865,14.21,10^6 K181,Body,P-36,9,21
4016647.8,22490.184,14.21,10^6 K181,Body,P-37,9,21
1993524.6,11162.227,14.21,10^6 K181,Body,P-41,9,21
5398717,137114.28,3.133,10^6 K181,Salivary Gland,P-36,10,21
23359418,593272.38,3.133,10^6 K181,Salivary Gland,P-37,10,21
4411385.5,112038.46,3.133,10^6 K181,Salivary Gland,P-41,10,21
1855759,10390.843,14.21,10^6 K181,Body,P-36,10,21
1291048.1,7228.8901,14.21,10^6 K181,Body,P-37,10,21
1693689.4,9483.376,14.21,10^6 K181,Body,P-41,10,21
4467713.5,113469.05,3.133,10^6 K181,Salivary Gland,P-36,11,21
37774000,959367.69,3.133,10^6 K181,Salivary Gland,P-37,11,21
5277242,134029.11,3.133,10^6 K181,Salivary Gland,P-41,11,21
1169376,6547.6187,14.21,10^6 K181,Body,P-36,11,21
1421338.1,7958.4155,14.21,10^6 K181,Body,P-37,11,21
759854.75,4271.8354,14.15,10^6 K181,Body,P-41,11,21
4204712.5,106789.46,3.133,10^6 K181,Salivary Gland,P-36,12,21
16372067,415810.66,3.133,10^6 K181,Salivary Gland,P-37,12,21
3639777.3,92441.492,3.133,10^6 K181,Salivary Gland,P-41,12,21
498607.41,2791.8235,14.21,10^6 K181,Body,P-36,12,21
659655.81,3693.5723,14.21,10^6 K181,Body,P-37,12,21
513312.53,2874.1606,14.21,10^6 K181,Body,P-41,12,21
4448545,112982.21,3.133,10^6 K181,Salivary Gland,P-36,13,21
8058181.5,204658.2,3.133,10^6 K181,Salivary Gland,P-37,13,21
5454525.5,138531.67,3.133,10^6 K181,Salivary Gland,P-41,13,21
585077.69,3275.9915,14.21,10^6 K181,Body,P-36,13,21
569208.06,3187.1333,14.21,10^6 K181,Body,P-37,13,21
813430.13,4554.5918,14.21,10^6 K181,Body,P-41,13,21
71527.813,1816.6323,3.133,10^6 K181,Salivary Gland,P-36,0,21
76723.641,1948.5939,3.133,10^6 K181,Salivary Gland,P-37,0,21
100624.48,2555.6169,3.133,10^6 K181,Salivary Gland,P-41,0,21
343856.66,1925.3365,14.21,10^6 K181,Body,P-36,0,21
337805.28,1891.4535,14.21,10^6 K181,Body,P-37,0,21
436647.06,2444.8926,14.21,10^6 K181,Body,P-41,0,21
127929.48,3249.0974,3.133,10^6 K181,Salivary Gland,P-36,1,21
329259.06,8362.3789,3.133,10^6 K181,Salivary Gland,P-37,1,21
192326.47,4884.624,3.133,10^6 K181,Salivary Gland,P-41,1,21
86133624,482282.97,14.21,10^6 K181,Body,P-36,1,21
28329258,158622.36,14.21,10^6 K181,Body,P-37,1,21
3.54E+08,1992673.4,14.15,10^6 K181,Body,P-41,1,21
147543.75,3747.2522,3.133,10^6 K181,Salivary Gland,P-36,2,21
652399.56,16569.361,3.133,10^6 K181,Salivary Gland,P-37,2,21
149760.94,3803.5632,3.133,10^6 K181,Salivary Gland,P-41,2,21
2.85E+08,1596650.8,14.21,10^6 K181,Body,P-36,2,21
54761680,306623.91,14.21,10^6 K181,Body,P-37,2,21
4.27E+08,2401536.3,14.15,10^6 K181,Body,P-41,2,21
119775.16,3041.9976,3.133,10^6 K181,Salivary Gland,P-36,3,21
450834.88,11450.108,3.133,10^6 K181,Salivary Gland,P-37,3,21
155798.84,3956.9119,3.133,10^6 K181,Salivary Gland,P-41,3,21
1.15E+08,643165.81,14.21,10^6 K181,Body,P-36,3,21
68178192,381746.16,14.21,10^6 K181,Body,P-37,3,21
28566082,159948.41,14.21,10^6 K181,Body,P-41,3,21
125721.25,3193.0139,3.133,10^6 K181,Salivary Gland,P-36,4,21
1984906.8,50411.805,3.133,10^6 K181,Salivary Gland,P-37,4,21
152354.36,3869.4302,3.133,10^6 K181,Salivary Gland,P-41,4,21
44237612,247697.08,14.21,10^6 K181,Body,P-36,4,21
66786656,373954.66,14.21,10^6 K181,Body,P-37,4,21
2.72E+08,1530695.3,14.15,10^6 K181,Body,P-41,4,21
493254.75,12527.471,3.133,10^6 K181,Salivary Gland,P-36,5,21
4260784.5,108213.56,3.133,10^6 K181,Salivary Gland,P-37,5,21
900319.19,22865.916,3.133,10^6 K181,Salivary Gland,P-41,5,21
14730265,82478.313,14.21,10^6 K181,Body,P-36,5,21
12254569,68616.297,14.21,10^6 K181,Body,P-37,5,21
21342584,119502.29,14.21,10^6 K181,Body,P-41,5,21
506994.63,12876.43,3.133,10^2 K181,Salivary Gland,P-38,6,21
255760.42,6495.6919,3.133,10^2 K181,Salivary Gland,P-39,6,21
91370.516,2320.5889,3.133,10^2 K181,Salivary Gland,P-40,6,21
496233.41,2778.531,14.21,10^2 K181,Body,P-38,6,21
8563585,47949.578,14.21,10^2 K181,Body,P-39,6,21
3423265.8,19167.693,14.21,10^2 K181,Body,P-40,6,21
1534278,38966.93,3.133,10^2 K181,Salivary Gland,P-38,7,21
618160.88,15699.781,3.133,10^2 K181,Salivary Gland,P-39,7,21
123629.48,3139.8879,3.133,10^2 K181,Salivary Gland,P-40,7,21
772638.31,4326.1885,14.21,10^2 K181,Body,P-38,7,21
4168876.8,23342.549,14.21,10^2 K181,Body,P-39,7,21
2470654.5,13833.792,14.21,10^2 K181,Body,P-40,7,21
1606820.4,40809.328,3.133,10^2 K181,Salivary Gland,P-38,8,21
631737.19,16044.587,3.133,10^2 K181,Salivary Gland,P-39,8,21
71666.664,1820.1588,3.133,10^2 K181,Salivary Gland,P-40,8,21
715985.81,4008.9778,14.21,10^2 K181,Body,P-38,8,21
2127779,11913.948,14.21,10^2 K181,Body,P-39,8,21
1221715,6840.6777,14.21,10^2 K181,Body,P-40,8,21
2415426.3,61345.949,3.133,10^2 K181,Salivary Gland,P-38,9,21
885719.38,22495.117,3.133,10^2 K181,Salivary Gland,P-39,9,21
150300.67,3817.2715,3.133,10^2 K181,Salivary Gland,P-40,9,21
671315.06,3758.8555,14.21,10^2 K181,Body,P-38,9,21
874055.56,4894.0483,14.21,10^2 K181,Body,P-39,9,21
680806.44,3811.9998,14.21,10^2 K181,Body,P-40,9,21
1560763.4,39639.59,3.133,10^2 K181,Salivary Gland,P-38,10,21
1072305.8,27233.955,3.133,10^2 K181,Salivary Gland,P-39,10,21
376435.91,9560.5557,3.133,10^2 K181,Salivary Gland,P-40,10,21
484618.94,2713.4985,14.21,10^2 K181,Body,P-38,10,21
599348.31,3355.8962,14.21,10^2 K181,Body,P-39,10,21
688120.88,3852.9553,14.21,10^2 K181,Body,P-40,10,21
2015553.3,51190.148,3.133,10^2 K181,Salivary Gland,P-38,11,21
1857886.5,47185.797,3.133,10^2 K181,Salivary Gland,P-39,11,21
784409.5,19922.094,3.133,10^2 K181,Salivary Gland,P-40,11,21
611222.56,3422.3831,14.21,10^2 K181,Body,P-38,11,21
1102421.4,6172.7241,14.21,10^2 K181,Body,P-39,11,21
894847.94,5010.4697,14.21,10^2 K181,Body,P-40,11,21
675073.13,17145.215,3.133,10^2 K181,Salivary Gland,P-38,12,21
1990205.6,50546.383,3.133,10^2 K181,Salivary Gland,P-39,12,21
1454371.9,36937.508,3.133,10^2 K181,Salivary Gland,P-40,12,21
426515.22,2388.1619,14.21,10^2 K181,Body,P-38,12,21
864846.44,4842.4844,14.21,10^2 K181,Body,P-39,12,21
1878490.6,10518.124,14.21,10^2 K181,Body,P-40,12,21
1811236,46000.988,3.133,10^2 K181,Salivary Gland,P-38,13,21
2066633.6,52487.469,3.133,10^2 K181,Salivary Gland,P-39,13,21
1846957.5,46908.227,3.133,10^2 K181,Salivary Gland,P-40,13,21
423756,2372.7124,14.21,10^2 K181,Body,P-38,13,21
655991.88,3673.0569,14.21,10^2 K181,Body,P-39,13,21
1282197.3,7179.332,14.21,10^2 K181,Body,P-40,13,21
918347.88,23323.801,3.133,10^2 K181,Salivary Gland,P-38,14,21
1144422.6,29065.549,3.133,10^2 K181,Salivary Gland,P-39,14,21
1978373.9,50245.883,3.133,10^2 K181,Salivary Gland,P-40,14,21
463656.44,2596.1245,14.21,10^2 K181,Body,P-38,14,21
480399.56,2689.8733,14.21,10^2 K181,Body,P-39,14,21
812229.69,4547.8706,14.21,10^2 K181,Body,P-40,14,21
1000863,25419.486,3.133,10^2 K181,Salivary Gland,P-38,15,21
697412.94,17712.592,3.133,10^2 K181,Salivary Gland,P-39,15,21
2638442,67010.008,3.133,10^2 K181,Salivary Gland,P-40,15,21
580052.13,3247.8518,14.21,10^2 K181,Body,P-38,15,21
410394.66,2297.8989,14.21,10^2 K181,Body,P-39,15,21
796592.88,4460.3159,14.21,10^2 K181,Body,P-40,15,21
843603.94,21425.488,3.133,10^2 K181,Salivary Gland,P-38,16,21
906731.19,23028.766,3.133,10^2 K181,Salivary Gland,P-39,16,21
977172.75,24817.809,3.133,10^2 K181,Salivary Gland,P-40,16,21
536671.38,3004.9526,14.21,10^2 K181,Body,P-38,16,21
535457.5,2998.156,14.21,10^2 K181,Body,P-39,16,21
792194.31,4435.6875,14.21,10^2 K181,Body,P-40,16,21
810140.13,20575.588,3.133,10^2 K181,Salivary Gland,P-38,17,21
1141417.1,28989.215,3.133,10^2 K181,Salivary Gland,P-39,17,21
1286712.3,32679.359,3.133,10^2 K181,Salivary Gland,P-40,17,21
407084.59,2279.365,14.21,10^2 K181,Body,P-38,17,21
360953.63,2021.0667,14.21,10^2 K181,Body,P-39,17,21
405908.78,2272.7815,14.21,10^2 K181,Body,P-40,17,21
183863.06,4669.6743,3.133,10^2 K181,Salivary Gland,P-38,18,21
291967.75,7415.27,3.133,10^2 K181,Salivary Gland,P-39,18,21
556209.5,14126.367,3.133,10^2 K181,Salivary Gland,P-40,18,21
305174.59,1708.7462,14.21,10^2 K181,Body,P-38,18,21
273506.88,1531.431,14.21,10^2 K181,Body,P-39,18,21
339175.91,1899.1279,14.21,10^2 K181,Body,P-40,18,21
330900.66,8404.0723,3.133,10^2 K181,Salivary Gland,P-38,19,21
531515.81,13499.208,3.133,10^2 K181,Salivary Gland,P-39,19,21
1823887.5,46322.305,3.133,10^2 K181,Salivary Gland,P-40,19,21
333576.97,1867.7781,14.21,10^2 K181,Body,P-38,19,21
310218.16,1736.9863,14.21,10^2 K181,Body,P-39,19,21
388442.28,2174.9822,14.21,10^2 K181,Body,P-40,19,21
199838.02,5075.3994,3.133,10^2 K181,Salivary Gland,P-38,20,21
367280.47,9328.0303,3.133,10^2 K181,Salivary Gland,P-39,20,21
1012022.9,25702.918,3.133,10^2 K181,Salivary Gland,P-40,20,21
359139.56,2010.9093,14.21,10^2 K181,Body,P-38,20,21
316282.94,1770.9445,14.21,10^2 K181,Body,P-39,20,21
377589.25,2114.2136,14.21,10^2 K181,Body,P-40,20,21
84329.273,2141.7583,3.133,10^2 K181,Salivary Gland,P-38,0,21
90465.727,2297.6094,3.133,10^2 K181,Salivary Gland,P-39,0,21
83679.789,2125.2632,3.133,10^2 K181,Salivary Gland,P-40,0,21
401736.44,2249.4194,14.21,10^2 K181,Body,P-38,0,21
376697.94,2109.2227,14.21,10^2 K181,Body,P-39,0,21
323592.91,1811.8749,14.21,10^2 K181,Body,P-40,0,21
69942.188,1776.3613,3.133,10^2 K181,Salivary Gland,P-38,1,21
99173.227,2518.7585,3.133,10^2 K181,Salivary Gland,P-39,1,21
81323.742,2065.4253,3.133,10^2 K181,Salivary Gland,P-40,1,21
424808.63,2378.6062,14.21,10^2 K181,Body,P-38,1,21
515054.91,2883.917,14.21,10^2 K181,Body,P-39,1,21
398193.44,2229.5813,14.21,10^2 K181,Body,P-40,1,21
106949.07,2716.2461,3.133,10^2 K181,Salivary Gland,P-38,2,21
115419.16,2931.366,3.133,10^2 K181,Salivary Gland,P-39,2,21
104973.75,2666.0776,3.133,10^2 K181,Salivary Gland,P-40,2,21
544729.38,3050.0715,14.21,10^2 K181,Body,P-38,2,21
787043.25,4406.8457,14.21,10^2 K181,Body,P-39,2,21
1383525,7746.6909,14.21,10^2 K181,Body,P-40,2,21
78658.648,1997.7382,3.133,10^2 K181,Salivary Gland,P-38,3,21
72849.172,1850.1915,3.133,10^2 K181,Salivary Gland,P-39,3,21
62358.957,1583.7657,3.133,10^2 K181,Salivary Gland,P-40,3,21
469640.66,2629.6313,14.21,10^2 K181,Body,P-38,3,21
2153771.5,12059.487,14.21,10^2 K181,Body,P-39,3,21
1802425.5,10092.216,14.21,10^2 K181,Body,P-40,3,21
91540.727,2324.9119,3.133,10^2 K181,Salivary Gland,P-38,4,21
156298.28,3969.5957,3.133,10^2 K181,Salivary Gland,P-39,4,21
99827.188,2535.3677,3.133,10^2 K181,Salivary Gland,P-40,4,21
554923.94,3107.1533,14.21,10^2 K181,Body,P-38,4,21
888326.25,4973.9531,14.21,10^2 K181,Body,P-39,4,21
646043.63,3617.3545,14.21,10^2 K181,Body,P-40,4,21
241836.92,6142.0693,3.133,10^2 K181,Salivary Gland,P-38,5,21
210563.39,5347.7974,3.133,10^2 K181,Salivary Gland,P-39,5,21
78504.117,1993.8135,3.133,10^2 K181,Salivary Gland,P-40,5,21
2349376.8,13154.728,14.21,10^2 K181,Body,P-38,5,21
4875931,27301.516,14.21,10^2 K181,Body,P-39,5,21
2405209.5,13467.35,14.21,10^2 K181,Body,P-40,5,21
